poiName,count,rating,uniqueCars,avgDistance,minDistance,maxDistance,latitude,longitude,latitudesOfSearcher,longitudesOfSearcher,clickTimes
서울방송고등학교,1,2,1,13.84,13.84,13.84,37.54743272,127.0104035,37.6048566,127.1497187,1.62E+12
거제센트럴자이아파트,1,2,1,7.1,7.1,7.1,35.19315552,129.0764476,35.1449124,129.1276428,1.62E+12
샤넬부티크 롯데백화점잠실점,1,2,1,5.25,5.25,5.25,37.51118878,127.0980679,37.5277941,127.0422907,1.62E+12
샤넬 현대백화점무역센터점,1,2,1,2.83,2.83,2.83,37.50864571,127.0597763,37.5281802,127.0392168,1.62E+12
CGV 용산아이파크몰점,1,2,1,7.8,7.8,7.8,37.5293076,126.9652637,37.5623342,126.8872309,1.62E+12
샘골리빙룸,1,2,1,145.65,145.65,145.65,37.56367601,126.9315342,37.1823661,128.5083672,1.62E+12
상암동,1,2,1,7.3,7.3,7.3,37.57664993,126.8957499,37.5552284,126.9740393,1.62E+12
Green Building Yeomnosang Public Parking Lot,1,2,1,6.02,6.02,6.02,37.5565793,126.9763869,37.5174779,126.9291776,1.62E+12
빅쭌부대찌개,1,2,1,73.01,73.01,73.01,36.91193744,127.1426506,37.5545282,126.9734453,1.62E+12
분당 정자 전시장,1,2,1,22.54,22.54,22.54,37.36023691,127.1055979,37.5172687,126.9441863,1.62E+12
분당 서현 전시장,1,2,1,23.72,23.72,23.72,37.38058892,127.1352769,37.5174764,126.929144,1.62E+12
CU 916샛강역점,1,2,1,0.02,0.02,0.02,37.51735048,126.9292471,37.5175074,126.9291554,1.62E+12
부평역 서울1호선,1,2,1,18.33,18.33,18.33,37.48948719,126.7244185,37.5175074,126.9291554,1.62E+12
Deungchon Shabu Kalguksu,1,2,1,0.53,0.53,0.53,37.49371042,126.4895136,37.4936143,126.4835493,1.62E+12
부산북부운전면허시험장,1,2,1,9.29,9.29,9.29,35.17709118,128.983104,35.096671,128.9555952,1.62E+12
낙산사,1,2,1,331.06,331.06,331.06,38.1247202,128.6273936,35.1744785,129.1270202,1.62E+12
대구역,1,2,1,236.15,236.15,236.15,35.87600654,128.5963095,37.555151,126.973997,1.62E+12
대구스타디움,1,2,1,131.1,131.1,131.1,35.82959929,128.6901584,36.3577106,127.3856023,1.62E+12
남영역(서울1호선)ㅎㅎㅎㅎㅎ,1,2,1,1.72,1.72,1.72,37.54014993,126.9706299,37.5553555,126.9739634,1.62E+12
Yeonsan Junction,1,2,1,4.31,4.31,4.31,35.18607189,129.0817147,35.17448,129.1270165,1.62E+12
남산도서관,1,2,1,0.7,0.7,0.7,37.55296058,126.9814156,37.5553649,126.9741312,1.62E+12
남대문로 30,1,2,1,0.79,0.79,0.79,37.56104392,126.9791889,37.5552284,126.9740393,1.62E+12
남군포TG,1,2,1,21.23,21.23,21.23,37.32656487,126.9286802,37.5174764,126.929144,1.62E+12
고덕역 서울5호선,1,2,1,15.88,15.88,15.88,37.55502697,127.1541384,37.5553456,126.9740485,1.62E+12
Namdaemun Pihyeoksangganamcheuk Public Parking Lot,1,2,1,6.02,6.02,6.02,37.55889782,126.9731867,37.5174779,126.9291776,1.62E+12
김포국제공항국제선청사,1,2,1,15.33,15.33,15.33,37.5656999,126.8007225,37.540697,126.9716962,1.62E+12
기장 전시장,1,2,1,9.4,9.4,9.4,35.18803393,129.2123259,35.1541907,129.1175147,1.62E+12
고려당,1,2,1,40.84,40.84,40.84,35.22458632,128.6816579,35.1746636,129.1269776,1.62E+12
그릴5타코,1,2,1,92.06,92.06,92.06,35.85823657,128.6240663,35.1255629,129.0976983,1.62E+12
구미확장단지우미린풀하우스,1,2,1,126.39,126.39,126.39,36.16323668,128.4367606,35.17448,129.1270165,1.62E+12
광성고등학교,1,2,1,20.65,20.65,20.65,37.54855321,126.9365085,37.5684767,127.1694177,1.62E+12
광주은행 여의도지점,1,2,1,0,0,0,37.52406933,126.9260415,,,1.62E+12
마곡GMG엘스타,1,2,1,9.85,9.85,9.85,37.55969896,126.830943,37.5175074,126.9291554,1.62E+12
경쟁.갠다.공장,1,2,1,0.04,0.04,0.04,37.55569501,126.974201,37.5553893,126.9739271,1.62E+12
경성대학교,1,2,1,328.08,328.08,328.08,35.13957974,129.0974153,37.5235383,126.9390625,1.62E+12
동여주하이패스TG,1,2,1,63.99,63.99,63.99,37.3999662,127.672324,37.5553222,126.9740977,1.62E+12
Incheon International Airport Passenger Terminal 1,1,2,1,47.6,47.6,47.6,37.44942388,126.45082,37.5544806,126.9739514,1.62E+12
동인천역 서울1호선 7번출구,1,2,1,44.25,44.25,44.25,37.4751445,126.6308639,37.2938431,127.0767048,1.62E+12
따릉이대여소 문화비축기지,1,2,1,7.19,7.19,7.19,37.56910354,126.8944551,37.5553395,126.9741033,1.62E+12
라마다호텔 강원속초,1,2,1,158.61,158.61,158.61,38.17424267,128.6101323,37.4960286,127.0211984,1.62E+12
래미안프리미어팰리스아파트,1,2,1,0.69,0.69,0.69,37.53777777,127.0815518,37.5321153,127.0847071,1.62E+12
롯데마트 행당역점,1,2,1,10.39,10.39,10.39,37.55659162,127.0288116,37.6103727,127.1252256,1.62E+12
롯데백화점 본점,1,2,1,1.26,1.26,1.26,37.56472341,126.981763,37.5551968,126.9739226,1.62E+12
롯데아울렛 고양점,1,2,1,12.8,12.8,12.8,37.62964921,126.8631626,37.5551978,126.9739542,1.62E+12
Gwangalli Beach,1,2,1,324.07,324.07,324.07,35.1526239,129.1180151,37.5246419,127.0154106,1.62E+12
롯데프리미엄아울렛 이천점,1,2,1,19.15,19.15,19.15,37.24269614,127.3991946,37.377586,127.5338614,1.62E+12
광주광역시청,1,2,1,152.76,152.76,152.76,35.15999051,126.8513662,35.2836311,128.5262727,1.62E+12
롯데호텔 월드,1,2,1,15.06,15.06,15.06,37.51148743,127.1000946,37.51779,126.9295762,1.62E+12
